Date,Description,Amount,Type
2026-02-01,TRANSFER FROM SHOPIFY PAYMENTS,8500.00,credit
2026-02-03,AMAZON WEB SERVICES,-185.00,debit
2026-02-05,GOOGLE ADS PAYMENT,-450.00,debit
2026-02-07,STAPLES OFFICE SUPPLIES,-87.50,debit
2026-02-10,SHOPIFY SUBSCRIPTION,-79.00,debit
2026-02-12,RESTAURANT - TEAM LUNCH,-124.00,debit
2026-02-14,TRANSFER FROM SHOPIFY PAYMENTS,4200.00,credit
2026-02-15,FACEBOOK ADS PAYMENT,-250.00,debit
2026-02-18,ULINE SHIPPING SUPPLIES,-32.00,debit
2026-02-20,ZOOM VIDEO COMMUNICATIONS,-149.90,debit
2026-02-22,UBER RIDES,-45.60,debit
2026-02-25,ADOBE CREATIVE CLOUD,-54.99,debit
